time,temp,wind_speed,wind_degree,pressure,precip,humidity,cloud,uv,weather
2024-10-22 00:00,26.1,7.9,179,29.86,0.0,74,35,0.0,1003
2024-10-22 01:00,26.0,7.2,188,29.85,0.0,74,32,0.0,1003
2024-10-22 02:00,25.8,6.1,185,29.84,0.0,73,26,0.0,1003
2024-10-22 03:00,25.5,6.5,168,29.84,0.0,73,34,0.0,1003
2024-10-22 04:00,25.5,6.1,183,29.85,0.0,72,20,0.0,1000
2024-10-22 05:00,25.3,6.5,186,29.87,0.0,72,24,0.0,1000
2024-10-22 06:00,26.0,6.8,183,29.88,0.0,70,18,8.0,1000
2024-10-22 07:00,28.0,7.6,173,29.9,0.0,62,16,8.0,1000
2024-10-22 08:00,30.2,6.8,162,29.9,0.0,54,14,9.0,1000
2024-10-22 09:00,31.9,5.8,125,29.88,0.0,49,12,9.0,1000
2024-10-22 10:00,32.7,9.4,85,29.86,0.0,47,55,8.0,1063
2024-10-22 11:00,33.6,11.5,70,29.83,0.0,45,85,8.0,1063
2024-10-22 12:00,33.8,14.0,61,29.79,0.0,44,32,9.0,1003
2024-10-22 13:00,32.5,16.2,54,29.78,0.0,49,76,8.0,1063
2024-10-22 14:00,30.8,11.9,76,29.77,0.01,56,73,8.0,1063
2024-10-22 15:00,30.2,14.8,113,29.76,0.0,59,40,9.0,1003
2024-10-22 16:00,31.0,11.5,113,29.77,0.01,56,81,8.0,1063
2024-10-22 17:00,30.0,9.0,142,29.79,0.01,60,51,7.0,1150
2024-10-22 18:00,28.3,9.0,153,29.82,0.0,66,87,0.0,1063
2024-10-22 19:00,27.7,10.8,169,29.85,0.01,69,88,0.0,1150
2024-10-22 20:00,27.1,11.9,174,29.87,0.01,72,86,0.0,1240
2024-10-22 21:00,26.7,12.6,181,29.88,0.0,73,56,0.0,1003
2024-10-22 22:00,26.4,10.8,188,29.88,0.0,73,32,0.0,1003
2024-10-22 23:00,26.1,9.0,198,29.87,0.0,73,25,0.0,1003
2024-10-23 00:00,25.9,7.2,202,29.85,0.0,73,25,0.0,1000
2024-10-23 01:00,25.7,9.0,201,29.83,0.0,74,22,0.0,1000
2024-10-23 02:00,25.4,7.6,196,29.83,0.0,75,21,0.0,1000
